,file,frame,model,TP,FN,FP,precision,recall,average_precision
0,BT0403_229.tif,0,single_frame,65,16,31,0.6770833333333334,0.8024691358024691,0.5803571428571429
1,BT0403_229.tif,1,single_frame,63,13,39,0.6176470588235294,0.8289473684210527,0.5478260869565217
2,BT0403_229.tif,2,single_frame,68,9,34,0.6666666666666666,0.8831168831168831,0.6126126126126126
3,BT0403_229.tif,3,single_frame,70,8,44,0.6140350877192983,0.8974358974358975,0.5737704918032787
4,BT0403_229.tif,4,single_frame,74,8,45,0.6218487394957983,0.9024390243902439,0.5826771653543307
5,BT0403_229.tif,5,single_frame,67,15,43,0.6090909090909091,0.8170731707317073,0.536
6,BT0403_229.tif,6,single_frame,73,11,41,0.6403508771929824,0.8690476190476191,0.584
7,BT0403_229.tif,7,single_frame,69,12,37,0.6509433962264151,0.8518518518518519,0.5847457627118644
8,BT0403_229.tif,8,single_frame,66,15,44,0.6,0.8148148148148148,0.528
9,BT0403_229.tif,9,single_frame,66,13,47,0.584070796460177,0.8354430379746836,0.5238095238095238
10,BT0403_229.tif,10,single_frame,67,9,30,0.6907216494845361,0.881578947368421,0.6320754716981132
11,BT0407_110.tif,0,single_frame,20,5,35,0.36363636363636365,0.8,0.3333333333333333
12,BT0407_110.tif,1,single_frame,19,9,39,0.3275862068965517,0.6785714285714286,0.2835820895522388
13,BT0407_110.tif,2,single_frame,27,9,13,0.675,0.75,0.5510204081632653
14,BT0407_110.tif,3,single_frame,31,6,13,0.7045454545454546,0.8378378378378378,0.62
15,BT0407_110.tif,4,single_frame,36,5,10,0.782608695652174,0.8780487804878049,0.7058823529411765
16,BT353_001.tif,0,single_frame,68,36,30,0.6938775510204082,0.6538461538461539,0.5074626865671642
17,BT353_001.tif,1,single_frame,67,35,30,0.6907216494845361,0.6568627450980392,0.5075757575757576
18,BT353_001.tif,2,single_frame,66,32,25,0.7252747252747253,0.673469387755102,0.5365853658536586
19,BT353_001.tif,3,single_frame,57,26,25,0.6951219512195121,0.6867469879518072,0.5277777777777778
20,BT353_001.tif,4,single_frame,45,27,19,0.703125,0.625,0.4945054945054945
21,BT353_001.tif,5,single_frame,45,15,20,0.6923076923076923,0.75,0.5625
22,BT353_001.tif,6,single_frame,57,20,16,0.7808219178082192,0.7402597402597403,0.6129032258064516
23,BT353_001.tif,7,single_frame,51,23,9,0.85,0.6891891891891891,0.6144578313253012
24,BT353_001.tif,8,single_frame,49,20,9,0.8448275862068966,0.7101449275362319,0.6282051282051282
25,BT353_001.tif,9,single_frame,58,15,8,0.8787878787878788,0.7945205479452054,0.7160493827160493
26,BT0398_210.tif,0,single_frame,149,14,10,0.9371069182389937,0.9141104294478528,0.861271676300578
27,BT0398_210.tif,1,single_frame,156,10,5,0.968944099378882,0.9397590361445783,0.9122807017543859
28,BT0398_210.tif,2,single_frame,141,22,9,0.94,0.8650306748466258,0.8197674418604651
29,BT0398_210.tif,3,single_frame,147,21,6,0.9607843137254902,0.875,0.8448275862068966
30,BT0398_210.tif,4,single_frame,143,22,9,0.9407894736842105,0.8666666666666667,0.8218390804597702
31,BT0398_210.tif,5,single_frame,143,24,15,0.9050632911392406,0.8562874251497006,0.7857142857142857
32,BT0398_210.tif,6,single_frame,136,19,14,0.9066666666666666,0.8774193548387097,0.8047337278106509
33,BT0398_210.tif,7,single_frame,138,13,5,0.965034965034965,0.9139072847682119,0.8846153846153846
34,BT0398_210.tif,8,single_frame,130,18,1,0.9923664122137404,0.8783783783783784,0.87248322147651
35,BT0398_210.tif,9,single_frame,128,17,19,0.8707482993197279,0.8827586206896552,0.7804878048780488
36,BT0398_210.tif,10,single_frame,124,13,17,0.8794326241134752,0.9051094890510949,0.8051948051948052
