,frame,true,single,3frame,true_and_single,true_and_3frame,3frame_and_single,file,TP_fraction_single,TP_fraction_3frame,FP_fraction_single,FP_fraction_3frame
0,0,81,96,111,65,72,96,BT0403_229.tif,0.8024691358024691,0.8888888888888888,0.3229166666666667,0.35135135135135137
1,1,76,102,126,63,65,102,BT0403_229.tif,0.8289473684210527,0.8552631578947368,0.38235294117647056,0.48412698412698413
2,2,77,102,135,68,64,102,BT0403_229.tif,0.8831168831168831,0.8311688311688312,0.3333333333333333,0.5259259259259259
3,3,78,114,130,70,68,114,BT0403_229.tif,0.8974358974358975,0.8717948717948718,0.38596491228070173,0.47692307692307695
4,4,82,119,123,74,74,119,BT0403_229.tif,0.9024390243902439,0.9024390243902439,0.37815126050420167,0.3983739837398374
5,5,82,110,123,67,72,110,BT0403_229.tif,0.8170731707317073,0.8780487804878049,0.39090909090909093,0.4146341463414634
6,6,84,114,115,73,71,114,BT0403_229.tif,0.8690476190476191,0.8452380952380952,0.35964912280701755,0.3826086956521739
7,7,81,106,128,69,73,106,BT0403_229.tif,0.8518518518518519,0.9012345679012346,0.3490566037735849,0.4296875
8,8,81,110,101,66,62,110,BT0403_229.tif,0.8148148148148148,0.7654320987654321,0.4,0.38613861386138615
9,9,79,113,106,66,68,113,BT0403_229.tif,0.8354430379746836,0.8607594936708861,0.415929203539823,0.3584905660377358
10,10,76,97,118,67,67,97,BT0403_229.tif,0.881578947368421,0.881578947368421,0.30927835051546393,0.4322033898305085
11,0,25,55,70,20,22,55,BT0407_110.tif,0.8,0.88,0.6363636363636364,0.6857142857142857
12,1,28,58,53,19,10,58,BT0407_110.tif,0.6785714285714286,0.35714285714285715,0.6724137931034483,0.8113207547169812
13,2,36,40,48,27,28,40,BT0407_110.tif,0.75,0.7777777777777778,0.325,0.4166666666666667
14,3,37,44,55,31,32,44,BT0407_110.tif,0.8378378378378378,0.8648648648648649,0.29545454545454547,0.41818181818181815
15,4,41,46,62,36,39,46,BT0407_110.tif,0.8780487804878049,0.9512195121951219,0.21739130434782608,0.3709677419354839
16,0,163,159,178,149,149,159,BT0398_210.tif,0.9141104294478528,0.9141104294478528,0.06289308176100629,0.16292134831460675
17,1,166,161,184,156,158,161,BT0398_210.tif,0.9397590361445783,0.9518072289156626,0.031055900621118012,0.14130434782608695
18,2,163,150,178,141,157,150,BT0398_210.tif,0.8650306748466258,0.9631901840490797,0.06,0.11797752808988764
19,3,168,153,183,147,161,153,BT0398_210.tif,0.875,0.9583333333333334,0.0392156862745098,0.12021857923497267
20,4,165,152,179,143,156,152,BT0398_210.tif,0.8666666666666667,0.9454545454545454,0.05921052631578947,0.12849162011173185
21,5,167,158,178,143,149,158,BT0398_210.tif,0.8562874251497006,0.8922155688622755,0.0949367088607595,0.16292134831460675
22,6,155,150,177,136,148,150,BT0398_210.tif,0.8774193548387097,0.9548387096774194,0.09333333333333334,0.1638418079096045
23,7,151,143,191,138,143,143,BT0398_210.tif,0.9139072847682119,0.9470198675496688,0.03496503496503497,0.2513089005235602
24,8,148,131,176,130,138,131,BT0398_210.tif,0.8783783783783784,0.9324324324324325,0.007633587786259542,0.2159090909090909
25,9,145,147,168,128,139,147,BT0398_210.tif,0.8827586206896552,0.9586206896551724,0.1292517006802721,0.17261904761904762
26,10,137,141,165,124,129,141,BT0398_210.tif,0.9051094890510949,0.9416058394160584,0.12056737588652482,0.21818181818181817
27,0,333,277,296,302,308,277,BT402_169.tif,0.9069069069069069,0.924924924924925,-0.09025270758122744,-0.04054054054054054
28,1,341,298,325,311,323,298,BT402_169.tif,0.9120234604105572,0.9472140762463344,-0.0436241610738255,0.006153846153846154
29,2,327,303,335,310,320,303,BT402_169.tif,0.9480122324159022,0.9785932721712538,-0.0231023102310231,0.04477611940298507
30,0,106,99,114,84,99,99,BT403_002.tif,0.7924528301886793,0.9339622641509434,0.15151515151515152,0.13157894736842105
31,1,110,100,118,86,106,100,BT403_002.tif,0.7818181818181819,0.9636363636363636,0.14,0.1016949152542373
32,2,103,107,117,83,97,107,BT403_002.tif,0.8058252427184466,0.941747572815534,0.22429906542056074,0.17094017094017094
33,3,113,100,131,81,102,100,BT403_002.tif,0.7168141592920354,0.9026548672566371,0.19,0.22137404580152673
34,4,99,92,94,72,83,92,BT403_002.tif,0.7272727272727273,0.8383838383838383,0.21739130434782608,0.11702127659574468
35,5,103,105,118,77,91,105,BT403_002.tif,0.7475728155339806,0.883495145631068,0.26666666666666666,0.2288135593220339
36,6,95,97,111,67,80,97,BT403_002.tif,0.7052631578947368,0.8421052631578947,0.30927835051546393,0.27927927927927926
37,7,100,98,127,69,80,98,BT403_002.tif,0.69,0.8,0.29591836734693877,0.3700787401574803
38,8,59,84,71,48,48,84,BT403_002.tif,0.8135593220338984,0.8135593220338984,0.42857142857142855,0.323943661971831
39,9,93,117,108,77,85,117,BT403_002.tif,0.8279569892473119,0.9139784946236559,0.3418803418803419,0.21296296296296297
40,10,95,116,135,80,87,116,BT403_002.tif,0.8421052631578947,0.9157894736842105,0.3103448275862069,0.35555555555555557
41,0,156,188,201,145,150,188,BT404_199.tif,0.9294871794871795,0.9615384615384616,0.22872340425531915,0.2537313432835821
42,1,155,166,186,138,143,166,BT404_199.tif,0.8903225806451613,0.9225806451612903,0.1686746987951807,0.23118279569892472
43,2,155,167,183,140,138,167,BT404_199.tif,0.9032258064516129,0.8903225806451613,0.16167664670658682,0.2459016393442623
